vgp,ids,igidl,igtot
0,-1.33E-04,-2.85E-25,-3.78E-12
0.165,-6.76E-05,-2.66E-18,-1.35E-12
0.33,-1.59E-05,-6.43E-15,-3.49E-13
0.495,-8.96E-07,-6.47E-13,2.24E-13
0.66,-1.80E-08,-1.36E-11,2.06E-12
0.825,-3.30E-10,-1.23E-10,4.45E-12
