vds,ids,igidl,igtot
0,-3.53E-10,-2.19E-10,2.28E-12
0.11,-3.27E-10,-5.63E-11,1.66E-12
0.22,-3.00E-10,-8.88E-12,1.15E-12
0.33,-2.72E-10,-6.55E-13,7.33E-13
0.44,-2.43E-10,-1.20E-14,4.12E-13
0.55,-2.13E-10,-1.13E-17,1.83E-13
0.66,-1.80E-10,-1.25E-24,4.60E-14
