vgn,ids,igidl,igtot
0,1.01E-08,1.32E-10,-3.47E-12
0.11,1.71E-07,2.38E-11,-2.24E-12
0.22,2.00E-06,5.83E-13,-1.26E-12
0.33,1.04E-05,2.94E-19,-4.02E-13
0.44,2.71E-05,0.00E+00,9.59E-13
0.55,4.61E-05,0.00E+00,2.54E-12
0.66,6.62E-05,0.00E+00,4.95E-12
0.77,8.62E-05,0.00E+00,8.84E-12
