vds,ids,igidl,igtot
0.165,4.46E-08,2.01E-87,-4.41E-15
0.33,6.12E-08,2.54E-40,-2.51E-14
0.495,8.43E-08,4.81E-17,-8.05E-14
0.66,1.34E-07,2.59E-13,-2.06E-13
0.825,2.05E-07,9.71E-12,-4.63E-13
