vds,ids,igidl,igtot
0,0.00E+00,-1.24E-10,8.94E-12
0.165,-1.64E-17,-9.81E-12,6.49E-12
0.33,-1.13E-15,-2.61E-13,5.32E-12
0.495,-7.32E-14,-9.94E-16,4.83E-12
0.66,-4.86E-12,-7.82E-20,4.55E-12
0.825,-3.30E-10,-1.07E-38,4.45E-12
